Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Ford,Y,1995,,337,20,,FWD,4,Hatchback,Compact,,21,13,213,34725
,X,2009,Gasoline,123,6,CVT,RWD,,Hatchback,Compact,Sedan,36,9,986,10926
Ford,B,1996,Diesel,305,4,CVT,FWD,2,,Large,,17,30,242,14496
Ford,,2016,Diesel,291,6,,RWD,,Crossover,Large,Truck,34,9,493,61447
Hyundai,A,2010,,320,,CVT,AWD,10,Hatchback,Compact,,13,24,213,34806
,A,2019,Gasoline,382,8,CVT,AWD,10,,Midsize,Truck,42,150,693,46321
Hyundai,Z,2002,Gasoline,181,,CVT,,2,Luxury,,SUV,10,30,338,70095
Hyundai,X,2007,Diesel,324,12,CVT,RWD,3,Hatchback,Midsize,SUV,28,37,997,27656
,X,2015,Electric,372,4,CVT,AWD,2,Crossover,Large,SUV,40,15,173,60147
Toyota,Z,1995,Diesel,276,12,Manual,RWD,5,Crossover,Midsize,,25,29,672,54666
Hyundai,Z,2010,Gasoline,298,8,CVT,AWD,4,Crossover,Compact,SUV,23,12,164,43787
Honda,Z,2001,,135,6,Manual,FWD,3,Luxury,Large,Sedan,14,20,465,67946
Honda,,1999,Diesel,144,8,CVT,AWD,2,Hatchback,,Truck,,36,995,26727
Ford,B,2016,Gasoline,172,3,,FWD,,Hatchback,Compact,Truck,35,38,497,73056
Honda,X,2017,Diesel,261,8,Automatic,AWD,3,Luxury,Compact,Sedan,37,23,700,8081
Ford,,1997,Electric,321,3,Manual,,3,Hatchback,,,11,37,395,39196
Toyota,Z,2006,Diesel,295,8,CVT,FWD,2,Luxury,,,15,23,703,41735
,X,2020,Diesel,363,20,,AWD,3,Luxury,Midsize,Truck,18,19,917,30498
,,2010,Gasoline,375,3,Automatic,,,Luxury,Large,SUV,42,24,308,36656
,B,2013,Gasoline,167,4,Manual,FWD,10,Crossover,,,,23,768,72695
Honda,,1999,Gasoline,355,12,Automatic,,3,Hatchback,,,34,19,183,42900
Toyota,B,2016,Diesel,377,12,,RWD,10,Luxury,Large,Sedan,22,15,629,52701
Honda,Z,2019,Electric,318,,Manual,RWD,,Hatchback,,Sedan,18,27,794,24033
Honda,B,2008,,235,12,Automatic,FWD,2,Crossover,,SUV,22,10,510,15805
Toyota,X,,,99,6,CVT,AWD,4,Luxury,Midsize,,40,23,708,40851
Toyota,Z,1999,Gasoline,316,20,Manual,FWD,3,,Compact,,,37,546,31832
Toyota,X,2009,Gasoline,175,8,Automatic,,4,Crossover,Compact,Sedan,20,30,564,68437
Toyota,A,2011,Diesel,120,,,AWD,,,Compact,,13,35,624,18944
,Y,2008,,150,6,,RWD,3,Hatchback,Compact,Truck,43,12,764,24873
BMW,B,2014,Gasoline,202,6,Manual,AWD,10,Hatchback,,Sedan,47,27,594,45372
BMW,Y,1999,Electric,354,3,Automatic,RWD,5,Crossover,Large,SUV,13,8,744,20379
Toyota,Y,2006,Electric,207,12,Manual,AWD,4,Hatchback,Large,Sedan,47,37,227,41751
BMW,B,2010,Gasoline,253,4,Manual,AWD,3,,Midsize,,28,28,745,10110
BMW,Z,2020,Gasoline,399,4,Automatic,AWD,4,Luxury,Midsize,SUV,15,27,733,59341
Toyota,A,2020,,342,,Automatic,,3,Luxury,,Sedan,43,13,436,17087
BMW,X,2010,,138,20,CVT,,2,Luxury,Large,Truck,27,29,925,28762
Honda,,2015,Diesel,103,4,Automatic,FWD,10,Crossover,Large,Truck,22,25,422,14596
Ford,X,2001,,331,8,,FWD,4,Hatchback,Compact,Sedan,,15,554,23313
Ford,,1998,Electric,122,4,Manual,RWD,5,,,Truck,32,39,21,71549
Toyota,X,1995,Electric,274,,Manual,,5,Hatchback,,Truck,28,,554,28705
,B,1999,Gasoline,195,4,,RWD,,Hatchback,Compact,Truck,20,23,397,72364
Toyota,A,2017,,304,8,Automatic,FWD,3,Hatchback,,SUV,10,19,625,78445
,,2020,Diesel,112,3,,RWD,4,Luxury,,Truck,33,150,105,7023
Ford,Z,2004,Electric,309,20,,FWD,,,Midsize,Truck,16,21,192,64796
Toyota,X,2016,Electric,180,,CVT,,4,,Large,Truck,34,,17,69429
Hyundai,X,1999,Diesel,318,3,,AWD,3,Hatchback,,SUV,30,30,120,66627
Honda,,1998,Diesel,220,3,Manual,,5,Luxury,Midsize,Sedan,24,9,393,38848
BMW,Z,1996,Electric,252,3,,RWD,2,Luxury,Large,,10,28,425,42804
,Z,2014,Electric,164,6,Manual,RWD,5,,Compact,Truck,21,9,129,20379
Hyundai,B,2004,Diesel,77,20,Manual,,,Luxury,Midsize,Sedan,16,34,130,64664
BMW,B,2020,Electric,253,12,Manual,,10,Luxury,Midsize,Truck,24,16,572,32766
BMW,B,2013,Gasoline,350,20,Automatic,FWD,2,Luxury,Large,SUV,30,8,560,73099
Toyota,B,2020,Gasoline,264,6,CVT,RWD,,Crossover,Compact,Sedan,28,18,29,41060
BMW,B,1995,Diesel,264,12,Manual,RWD,3,Hatchback,Midsize,SUV,38,10,97,74122
Honda,B,2018,,224,20,Manual,,2,,,Truck,34,30,10,21087
Hyundai,A,1999,Diesel,162,3,Automatic,AWD,,,,Truck,42,33,242,53868
BMW,Z,2007,Diesel,229,,Manual,RWD,3,Crossover,,SUV,41,11,826,28225
Toyota,B,1998,,130,12,,AWD,5,Hatchback,Compact,,44,25,956,11643
Honda,Z,2010,,191,8,,,10,,Midsize,SUV,47,13,232,41727
Ford,Z,2018,,120,8,CVT,,3,Luxury,,Truck,35,29,789,16005
Hyundai,Y,2010,Gasoline,346,4,Manual,FWD,4,,Compact,SUV,20,22,284,70697
BMW,A,2017,Electric,74,12,Automatic,RWD,3,Luxury,,,44,29,715,21029
Toyota,B,1996,Gasoline,161,,,AWD,3,Crossover,Large,SUV,17,19,759,19226
Ford,X,2011,Electric,239,6,Automatic,FWD,10,Luxury,Midsize,,23,25,802,68646
Ford,,,Gasoline,386,3,Automatic,RWD,4,,Midsize,,19,37,776,65603
,X,2021,Electric,91,4,,FWD,,,Compact,SUV,11,31,955,33731
Honda,A,2014,Gasoline,395,8,Automatic,,,,Compact,SUV,18,37,726,73926
BMW,,2018,,70,6,,RWD,3,Crossover,Midsize,Sedan,12,21,200,10997
Toyota,A,2006,Diesel,202,6,Automatic,FWD,4,Crossover,,Truck,30,13,945,60506
,Z,2012,Gasoline,302,3,,FWD,4,Hatchback,,,35,10,79,54815
Honda,,1997,Electric,81,12,Manual,AWD,10,,Large,Sedan,17,23,913,47092
,Z,,,115,8,CVT,FWD,5,Luxury,,SUV,11,14,956,67539
Hyundai,X,1995,Gasoline,103,,,RWD,,Crossover,Compact,Truck,15,21,855,71077
Honda,X,1995,Gasoline,147,6,,RWD,10,,Compact,Sedan,37,16,856,26817
Honda,,2013,,287,3,CVT,AWD,2,,,,38,22,173,42861
BMW,,2005,Gasoline,370,,,RWD,,Crossover,Compact,Sedan,35,28,467,18428
Honda,B,1999,Diesel,142,12,,,10,Hatchback,Midsize,,34,9,581,48934
,A,2006,Gasoline,351,8,Automatic,RWD,,Crossover,Midsize,SUV,21,34,416,15258
Honda,B,1997,Diesel,318,12,CVT,RWD,5,Crossover,,Truck,14,9,940,62775
BMW,A,1995,Diesel,116,6,Manual,FWD,2,Luxury,Midsize,Truck,43,25,449,10469
BMW,B,1995,,190,,,FWD,5,Luxury,Midsize,Truck,46,21,87,33854
Hyundai,Z,2002,Gasoline,283,,CVT,RWD,2,Hatchback,Large,SUV,24,27,101,11256
,,2004,,308,,Automatic,AWD,3,,Large,,45,25,8,38937
Ford,X,2005,Gasoline,125,6,Manual,FWD,10,Crossover,Midsize,SUV,24,17,845,6651
Ford,A,2006,Gasoline,176,6,CVT,AWD,2,Hatchback,,Truck,32,32,200,55288
Honda,A,2007,Electric,388,12,Manual,RWD,5,Luxury,Large,SUV,15,9,505,30051
Hyundai,X,2006,Gasoline,117,4,Manual,RWD,,Crossover,Compact,SUV,30,32,87,32386
Toyota,B,2008,,130,12,Manual,,2,,Compact,SUV,32,,43,21184
Honda,A,1996,Diesel,95,8,,FWD,10,Luxury,Compact,,25,38,385,38787
Hyundai,Z,2013,Gasoline,361,3,,RWD,2,Luxury,,Sedan,24,21,621,26621
,,2012,Electric,326,,Automatic,,4,Luxury,Midsize,Sedan,34,8,435,64792
,X,1997,,77,4,Automatic,FWD,,Hatchback,Compact,SUV,45,23,408,50253
,,2017,Gasoline,182,3,CVT,RWD,10,,,Sedan,20,10,483,39051
,A,2011,,322,4,Automatic,RWD,10,Crossover,Large,Sedan,24,13,664,54811
,A,2020,Electric,249,20,Manual,FWD,3,Hatchback,Midsize,SUV,13,32,17,35447
Hyundai,X,2002,Electric,276,12,Manual,FWD,5,Hatchback,Large,SUV,30,20,645,35254
Hyundai,Z,2020,,372,6,,FWD,3,Hatchback,,Truck,22,150,148,62418
BMW,Y,2004,Gasoline,196,,Manual,RWD,10,Luxury,Compact,Sedan,31,15,277,19472
Ford,X,2020,Diesel,125,12,CVT,RWD,,,Compact,,28,28,232,8471
,Y,1996,Electric,283,3,Manual,,2,Hatchback,,SUV,43,150,826,13329
Toyota,B,2013,Gasoline,83,20,Manual,AWD,2,Crossover,Compact,Truck,23,11,927,39865
Hyundai,Y,2003,Gasoline,97,20,CVT,FWD,,,Midsize,,13,32,366,51850
Toyota,Z,2001,Diesel,147,20,Automatic,RWD,10,Crossover,,Sedan,36,22,228,59220
Toyota,B,1998,Electric,285,3,Automatic,RWD,2,,Large,Truck,38,11,651,11397
Toyota,Y,2020,Electric,223,3,CVT,FWD,2,Crossover,,SUV,37,19,436,40525
BMW,B,2015,Gasoline,83,3,,AWD,2,Luxury,Midsize,,44,39,399,58072
Hyundai,Y,2012,Gasoline,256,3,Manual,FWD,5,Hatchback,Midsize,SUV,17,39,211,28284
Toyota,Z,2007,Diesel,381,20,CVT,AWD,5,Crossover,,Sedan,25,35,391,66330
,Y,2005,Diesel,76,20,Manual,RWD,4,,,,200,20,499,30122
Honda,Y,2018,Electric,72,4,,AWD,3,Hatchback,Compact,Sedan,45,38,540,75553
Toyota,Y,1998,,180,12,Manual,,,Hatchback,Midsize,Sedan,39,21,563,67812
BMW,X,2019,Electric,307,,CVT,RWD,,,,Truck,27,27,491,12999
Hyundai,X,2015,Gasoline,308,6,Manual,,,Crossover,,SUV,11,25,442,27436
BMW,X,2019,Electric,343,20,Automatic,FWD,4,Luxury,Midsize,,22,36,261,47963
Toyota,Z,1998,,363,6,,FWD,5,Luxury,,Sedan,13,13,773,7096
Hyundai,B,2004,Diesel,296,12,,FWD,10,Crossover,Compact,Sedan,35,39,350,30279
Honda,A,1999,,84,12,,AWD,10,Hatchback,Midsize,,34,36,352,31201
Toyota,Y,2003,,261,6,CVT,RWD,4,Hatchback,Compact,Sedan,39,9,520,24715
BMW,Y,2018,,188,20,,FWD,10,Hatchback,Compact,Truck,20,30,320,34309
Ford,Z,1997,Diesel,97,6,Automatic,FWD,,Hatchback,Compact,Truck,16,26,138,20078
,Y,2011,,271,4,CVT,RWD,3,Crossover,Compact,Truck,40,38,550,61614
BMW,X,1997,,108,8,Automatic,FWD,2,Hatchback,Midsize,Truck,19,12,623,10105
Hyundai,A,2010,,342,20,Manual,,5,,Compact,Sedan,48,26,992,7839
