,Company,Model,Year,Fuel Type,HP,Cylinders,Transmission Type,Driven Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway MPG,City MPG,Popularity,MSRP
90,Ford,B,2016.0,Gasoline,172,3.0,Automatic,FWD,2.0,Hatchback,Compact,Compact,35.0,38.0,497,73056
91,Honda,X,2017.0,Diesel,261,8.0,Automatic,AWD,3.0,Luxury,Compact,Compact,37.0,23.0,700,8081
92,Ford,X,1997.0,Electric,321,3.0,Manual,FWD,3.0,Hatchback,Compact,Compact,11.0,37.0,395,39196
93,Toyota,Z,2006.0,Diesel,295,8.0,CVT,FWD,2.0,Luxury,Midsize,Midsize,15.0,23.0,703,41735
94,Unknown,X,2020.0,Diesel,363,20.0,Automatic,AWD,3.0,Luxury,Midsize,Midsize,18.0,19.0,917,30498
95,Unknown,X,2010.0,Gasoline,375,3.0,Automatic,FWD,2.0,Luxury,Large,Large,42.0,24.0,308,36656
96,Unknown,B,2013.0,Gasoline,167,4.0,Manual,FWD,10.0,Crossover,Midsize,Midsize,30.0,23.0,768,72695
97,Honda,B,1999.0,Gasoline,355,12.0,Automatic,FWD,3.0,Hatchback,Compact,Compact,34.0,19.0,183,42900
98,Toyota,B,2016.0,Diesel,377,12.0,Manual,RWD,10.0,Luxury,Large,Large,22.0,15.0,629,52701
99,Honda,Z,2019.0,Electric,318,12.0,Manual,RWD,2.0,Hatchback,Compact,Compact,18.0,27.0,794,24033
100,Honda,B,2008.0,Diesel,235,12.0,Automatic,FWD,2.0,Crossover,Midsize,Midsize,22.0,10.0,510,15805
101,Toyota,X,1999.0,Electric,99,6.0,CVT,AWD,4.0,Luxury,Midsize,Midsize,40.0,23.0,708,40851
102,Toyota,Z,1999.0,Gasoline,316,20.0,Manual,FWD,3.0,Luxury,Compact,Compact,30.0,37.0,546,31832
103,Toyota,X,2009.0,Gasoline,175,8.0,Automatic,FWD,4.0,Crossover,Compact,Compact,20.0,30.0,564,68437
104,Toyota,A,2011.0,Diesel,120,12.0,Manual,AWD,2.0,Crossover,Compact,Compact,13.0,35.0,624,18944
105,Unknown,Y,2008.0,Gasoline,150,6.0,Manual,RWD,3.0,Hatchback,Compact,Compact,43.0,12.0,764,24873
106,BMW,B,2014.0,Gasoline,202,6.0,Manual,AWD,10.0,Hatchback,Compact,Compact,47.0,27.0,594,45372
107,BMW,Y,1999.0,Electric,354,3.0,Automatic,RWD,5.0,Crossover,Large,Large,13.0,8.0,744,20379
108,Toyota,Y,2006.0,Electric,207,12.0,Manual,AWD,4.0,Hatchback,Large,Large,47.0,37.0,227,41751
109,BMW,B,2010.0,Gasoline,253,4.0,Manual,AWD,3.0,Crossover,Midsize,Midsize,28.0,28.0,745,10110
110,BMW,Z,2020.0,Gasoline,399,4.0,Automatic,AWD,4.0,Luxury,Midsize,Midsize,15.0,27.0,733,59341
111,Toyota,A,2020.0,Electric,342,12.0,Automatic,FWD,3.0,Luxury,Midsize,Midsize,43.0,13.0,436,17087
112,BMW,X,2010.0,Gasoline,138,20.0,CVT,RWD,2.0,Luxury,Large,Large,27.0,29.0,925,28762
113,Honda,B,2015.0,Diesel,103,4.0,Automatic,FWD,10.0,Crossover,Large,Large,22.0,25.0,422,14596
114,Ford,X,2001.0,Gasoline,331,8.0,Manual,FWD,4.0,Hatchback,Compact,Compact,30.0,15.0,554,23313
115,Ford,X,1998.0,Electric,122,4.0,Manual,RWD,5.0,Crossover,Midsize,Midsize,32.0,39.0,21,71549
116,Toyota,X,1995.0,Electric,274,12.0,Manual,FWD,5.0,Hatchback,Compact,Compact,28.0,26.0,554,28705
117,Unknown,B,1999.0,Gasoline,195,4.0,Automatic,RWD,2.0,Hatchback,Compact,Compact,20.0,23.0,397,72364
118,Toyota,A,2017.0,Electric,304,8.0,Automatic,FWD,3.0,Hatchback,Compact,Compact,10.0,19.0,625,78445
119,Unknown,X,2020.0,Diesel,112,3.0,CVT,RWD,4.0,Luxury,Midsize,Midsize,33.0,150.0,105,7023
120,Ford,Z,2004.0,Electric,309,20.0,CVT,FWD,2.0,Hatchback,Midsize,Midsize,16.0,21.0,192,64796
121,Toyota,X,2016.0,Electric,180,12.0,CVT,RWD,4.0,Crossover,Large,Large,34.0,26.0,17,69429
122,Hyundai,X,1999.0,Diesel,318,3.0,Manual,AWD,3.0,Hatchback,Compact,Compact,30.0,30.0,120,66627
123,Honda,B,1998.0,Diesel,220,3.0,Manual,FWD,5.0,Luxury,Midsize,Midsize,24.0,9.0,393,38848
124,BMW,Z,1996.0,Electric,252,3.0,Manual,RWD,2.0,Luxury,Large,Large,10.0,28.0,425,42804
125,Unknown,Z,2014.0,Electric,164,6.0,Manual,RWD,5.0,Luxury,Compact,Compact,21.0,9.0,129,20379
126,Hyundai,B,2004.0,Diesel,77,20.0,Manual,FWD,2.0,Luxury,Midsize,Midsize,16.0,34.0,130,64664
127,BMW,B,2020.0,Electric,253,12.0,Manual,FWD,10.0,Luxury,Midsize,Midsize,24.0,16.0,572,32766
128,BMW,B,2013.0,Gasoline,350,20.0,Automatic,FWD,2.0,Luxury,Large,Large,30.0,8.0,560,73099
129,Toyota,B,2020.0,Gasoline,264,6.0,CVT,RWD,2.0,Crossover,Compact,Compact,28.0,18.0,29,41060
130,BMW,B,1995.0,Diesel,264,12.0,Manual,RWD,3.0,Hatchback,Midsize,Midsize,38.0,10.0,97,74122
131,Honda,B,2018.0,Diesel,224,20.0,Manual,FWD,2.0,Crossover,Midsize,Midsize,34.0,30.0,10,21087
132,Hyundai,A,1999.0,Diesel,162,3.0,Automatic,AWD,2.0,Luxury,Midsize,Midsize,42.0,33.0,242,53868
133,BMW,Z,2007.0,Diesel,229,12.0,Manual,RWD,3.0,Crossover,Midsize,Midsize,41.0,11.0,826,28225
134,Toyota,B,1998.0,Electric,130,12.0,CVT,AWD,5.0,Hatchback,Compact,Compact,44.0,25.0,956,11643
135,Honda,Z,2010.0,Diesel,191,8.0,CVT,RWD,10.0,Hatchback,Midsize,Midsize,47.0,13.0,232,41727
136,Ford,Z,2018.0,Gasoline,120,8.0,CVT,RWD,3.0,Luxury,Midsize,Midsize,35.0,29.0,789,16005
137,Hyundai,Y,2010.0,Gasoline,346,4.0,Manual,FWD,4.0,Luxury,Compact,Compact,20.0,22.0,284,70697
138,BMW,A,2017.0,Electric,74,12.0,Automatic,RWD,3.0,Luxury,Midsize,Midsize,44.0,29.0,715,21029
139,Toyota,B,1996.0,Gasoline,161,12.0,Automatic,AWD,3.0,Crossover,Large,Large,17.0,19.0,759,19226
140,Ford,X,2011.0,Electric,239,6.0,Automatic,FWD,10.0,Luxury,Midsize,Midsize,23.0,25.0,802,68646
141,Ford,X,2021.0,Gasoline,386,3.0,Automatic,RWD,4.0,Crossover,Midsize,Midsize,19.0,37.0,776,65603
142,Unknown,X,2021.0,Electric,91,4.0,Automatic,FWD,2.0,Hatchback,Compact,Compact,11.0,31.0,955,33731
143,Honda,A,2014.0,Gasoline,395,8.0,Automatic,FWD,2.0,Crossover,Compact,Compact,18.0,37.0,726,73926
144,BMW,B,2018.0,Gasoline,70,6.0,Automatic,RWD,3.0,Crossover,Midsize,Midsize,12.0,21.0,200,10997
145,Toyota,A,2006.0,Diesel,202,6.0,Automatic,FWD,4.0,Crossover,Midsize,Midsize,30.0,13.0,945,60506
146,Unknown,Z,2012.0,Gasoline,302,3.0,Manual,FWD,4.0,Hatchback,Compact,Compact,35.0,10.0,79,54815
147,Honda,B,1997.0,Electric,81,12.0,Manual,AWD,10.0,Hatchback,Large,Large,17.0,23.0,913,47092
148,Unknown,Z,1995.0,Gasoline,115,8.0,CVT,FWD,5.0,Luxury,Midsize,Midsize,11.0,14.0,956,67539
149,Hyundai,X,1995.0,Gasoline,103,12.0,CVT,RWD,2.0,Crossover,Compact,Compact,15.0,21.0,855,71077
150,Honda,X,1995.0,Gasoline,147,6.0,CVT,RWD,10.0,Hatchback,Compact,Compact,37.0,16.0,856,26817
151,Honda,B,2013.0,Diesel,287,3.0,CVT,AWD,2.0,Crossover,Midsize,Midsize,38.0,22.0,173,42861
152,BMW,B,2005.0,Gasoline,370,12.0,Automatic,RWD,2.0,Crossover,Compact,Compact,35.0,28.0,467,18428
153,Honda,B,1999.0,Diesel,142,12.0,Automatic,FWD,10.0,Hatchback,Midsize,Midsize,34.0,9.0,581,48934
154,Unknown,A,2006.0,Gasoline,351,8.0,Automatic,RWD,2.0,Crossover,Midsize,Midsize,21.0,34.0,416,15258
155,Honda,B,1997.0,Diesel,318,12.0,CVT,RWD,5.0,Crossover,Midsize,Midsize,14.0,9.0,940,62775
156,BMW,A,1995.0,Diesel,116,6.0,Manual,FWD,2.0,Luxury,Midsize,Midsize,43.0,25.0,449,10469
157,BMW,B,1995.0,Gasoline,190,12.0,CVT,FWD,5.0,Luxury,Midsize,Midsize,46.0,21.0,87,33854
158,Hyundai,Z,2002.0,Gasoline,283,12.0,CVT,RWD,2.0,Hatchback,Large,Large,24.0,27.0,101,11256
159,Unknown,X,2004.0,Gasoline,308,12.0,Automatic,AWD,3.0,Crossover,Large,Large,45.0,25.0,8,38937
160,Ford,X,2005.0,Gasoline,125,6.0,Manual,FWD,10.0,Crossover,Midsize,Midsize,24.0,17.0,845,6651
161,Ford,A,2006.0,Gasoline,176,6.0,CVT,AWD,2.0,Hatchback,Compact,Compact,32.0,32.0,200,55288
162,Honda,A,2007.0,Electric,388,12.0,Manual,RWD,5.0,Luxury,Large,Large,15.0,9.0,505,30051
163,Hyundai,X,2006.0,Gasoline,117,4.0,Manual,RWD,2.0,Crossover,Compact,Compact,30.0,32.0,87,32386
164,Toyota,B,2008.0,Electric,130,12.0,Manual,FWD,2.0,Crossover,Compact,Compact,32.0,26.0,43,21184
165,Honda,A,1996.0,Diesel,95,8.0,Automatic,FWD,10.0,Luxury,Compact,Compact,25.0,38.0,385,38787
166,Hyundai,Z,2013.0,Gasoline,361,3.0,Automatic,RWD,2.0,Luxury,Midsize,Midsize,24.0,21.0,621,26621
167,Unknown,X,2012.0,Electric,326,12.0,Automatic,FWD,4.0,Luxury,Midsize,Midsize,34.0,8.0,435,64792
168,Unknown,X,1997.0,Gasoline,77,4.0,Automatic,FWD,2.0,Hatchback,Compact,Compact,45.0,23.0,408,50253
169,Unknown,X,2017.0,Gasoline,182,3.0,CVT,RWD,10.0,Crossover,Midsize,Midsize,20.0,10.0,483,39051
170,Unknown,A,2011.0,Gasoline,322,4.0,Automatic,RWD,10.0,Crossover,Large,Large,24.0,13.0,664,54811
171,Unknown,A,2020.0,Electric,249,20.0,Manual,FWD,3.0,Hatchback,Midsize,Midsize,13.0,32.0,17,35447
172,Hyundai,X,2002.0,Electric,276,12.0,Manual,FWD,5.0,Hatchback,Large,Large,30.0,20.0,645,35254
173,Hyundai,Z,2020.0,Gasoline,372,6.0,Manual,FWD,3.0,Hatchback,Compact,Compact,22.0,150.0,148,62418
174,BMW,Y,2004.0,Gasoline,196,12.0,Manual,RWD,10.0,Luxury,Compact,Compact,31.0,15.0,277,19472
175,Ford,X,2020.0,Diesel,125,12.0,CVT,RWD,2.0,Hatchback,Compact,Compact,28.0,28.0,232,8471
176,Unknown,Y,1996.0,Electric,283,3.0,Manual,FWD,2.0,Hatchback,Compact,Compact,43.0,150.0,826,13329
177,Toyota,B,2013.0,Gasoline,83,20.0,Manual,AWD,2.0,Crossover,Compact,Compact,23.0,11.0,927,39865
178,Hyundai,Y,2003.0,Gasoline,97,20.0,CVT,FWD,2.0,Luxury,Midsize,Midsize,13.0,32.0,366,51850
179,Toyota,Z,2001.0,Diesel,147,20.0,Automatic,RWD,10.0,Crossover,Midsize,Midsize,36.0,22.0,228,59220
180,Toyota,B,1998.0,Electric,285,3.0,Automatic,RWD,2.0,Crossover,Large,Large,38.0,11.0,651,11397
181,Toyota,Y,2020.0,Electric,223,3.0,CVT,FWD,2.0,Crossover,Midsize,Midsize,37.0,19.0,436,40525
182,BMW,B,2015.0,Gasoline,83,3.0,Manual,AWD,2.0,Luxury,Midsize,Midsize,44.0,39.0,399,58072
183,Hyundai,Y,2012.0,Gasoline,256,3.0,Manual,FWD,5.0,Hatchback,Midsize,Midsize,17.0,39.0,211,28284
184,Toyota,Z,2007.0,Diesel,381,20.0,CVT,AWD,5.0,Crossover,Midsize,Midsize,25.0,35.0,391,66330
185,Unknown,Y,2005.0,Diesel,76,20.0,Manual,RWD,4.0,Luxury,Midsize,Midsize,200.0,20.0,499,30122
186,Honda,Y,2018.0,Electric,72,4.0,Manual,AWD,3.0,Hatchback,Compact,Compact,45.0,38.0,540,75553
187,Toyota,Y,1998.0,Electric,180,12.0,Manual,FWD,2.0,Hatchback,Midsize,Midsize,39.0,21.0,563,67812
188,BMW,X,2019.0,Electric,307,12.0,CVT,RWD,2.0,Luxury,Midsize,Midsize,27.0,27.0,491,12999
189,Hyundai,X,2015.0,Gasoline,308,6.0,Manual,FWD,2.0,Crossover,Midsize,Midsize,11.0,25.0,442,27436
190,BMW,X,2019.0,Electric,343,20.0,Automatic,FWD,4.0,Luxury,Midsize,Midsize,22.0,36.0,261,47963
191,Toyota,Z,1998.0,Electric,363,6.0,CVT,FWD,5.0,Luxury,Midsize,Midsize,13.0,13.0,773,7096
192,Hyundai,B,2004.0,Diesel,296,12.0,CVT,FWD,10.0,Crossover,Compact,Compact,35.0,39.0,350,30279
193,Honda,A,1999.0,Diesel,84,12.0,CVT,AWD,10.0,Hatchback,Midsize,Midsize,34.0,36.0,352,31201
194,Toyota,Y,2003.0,Electric,261,6.0,CVT,RWD,4.0,Hatchback,Compact,Compact,39.0,9.0,520,24715
195,BMW,Y,2018.0,Gasoline,188,20.0,Automatic,FWD,10.0,Hatchback,Compact,Compact,20.0,30.0,320,34309
196,Ford,Z,1997.0,Diesel,97,6.0,Automatic,FWD,2.0,Hatchback,Compact,Compact,16.0,26.0,138,20078
197,Unknown,Y,2011.0,Gasoline,271,4.0,CVT,RWD,3.0,Crossover,Compact,Compact,40.0,38.0,550,61614
198,BMW,X,1997.0,Gasoline,108,8.0,Automatic,FWD,2.0,Hatchback,Midsize,Midsize,19.0,12.0,623,10105
199,Hyundai,A,2010.0,Gasoline,342,20.0,Manual,FWD,5.0,Hatchback,Compact,Compact,48.0,26.0,992,7839
